panel_name,algorithm,specificity,sensitivity,false_positive_rate
Tier 1 full signature,LOOCV logistic regression: panel score,1,0,0
Tier 1 full signature,LOOCV logistic regression: panel score,0.9666666666666667,0,0.033333333333333326
Tier 1 full signature,LOOCV logistic regression: panel score,0.9666666666666667,0.07142857142857142,0.033333333333333326
Tier 1 full signature,LOOCV logistic regression: panel score,0.9666666666666667,0.14285714285714285,0.033333333333333326
Tier 1 full signature,LOOCV logistic regression: panel score,0.9666666666666667,0.21428571428571427,0.033333333333333326
Tier 1 full signature,LOOCV logistic regression: panel score,0.9666666666666667,0.2857142857142857,0.033333333333333326
Tier 1 full signature,LOOCV logistic regression: panel score,0.9666666666666667,0.35714285714285715,0.033333333333333326
Tier 1 full signature,LOOCV logistic regression: panel score,0.9666666666666667,0.42857142857142855,0.033333333333333326
Tier 1 full signature,LOOCV logistic regression: panel score,0.9666666666666667,0.5,0.033333333333333326
Tier 1 full signature,LOOCV logistic regression: panel score,0.9666666666666667,0.5714285714285714,0.033333333333333326
Tier 1 full signature,LOOCV logistic regression: panel score,0.9666666666666667,0.6428571428571429,0.033333333333333326
Tier 1 full signature,LOOCV logistic regression: panel score,0.9333333333333333,0.6428571428571429,0.06666666666666665
Tier 1 full signature,LOOCV logistic regression: panel score,0.9333333333333333,0.7142857142857143,0.06666666666666665
Tier 1 full signature,LOOCV logistic regression: panel score,0.9333333333333333,0.7857142857142857,0.06666666666666665
Tier 1 full signature,LOOCV logistic regression: panel score,0.9333333333333333,0.8571428571428571,0.06666666666666665
Tier 1 full signature,LOOCV logistic regression: panel score,0.9,0.8571428571428571,0.09999999999999998
Tier 1 full signature,LOOCV logistic regression: panel score,0.8666666666666667,0.8571428571428571,0.1333333333333333
Tier 1 full signature,LOOCV logistic regression: panel score,0.8333333333333334,0.8571428571428571,0.16666666666666663
Tier 1 full signature,LOOCV logistic regression: panel score,0.8,0.8571428571428571,0.19999999999999996
Tier 1 full signature,LOOCV logistic regression: panel score,0.7666666666666667,0.8571428571428571,0.23333333333333328
Tier 1 full signature,LOOCV logistic regression: panel score,0.7666666666666667,0.9285714285714286,0.23333333333333328
Tier 1 full signature,LOOCV logistic regression: panel score,0.7666666666666667,1,0.23333333333333328
Tier 1 full signature,LOOCV logistic regression: panel score,0.7333333333333333,1,0.2666666666666667
Tier 1 full signature,LOOCV logistic regression: panel score,0.7,1,0.30000000000000004
Tier 1 full signature,LOOCV logistic regression: panel score,0.6666666666666666,1,0.33333333333333337
Tier 1 full signature,LOOCV logistic regression: panel score,0.6333333333333333,1,0.3666666666666667
Tier 1 full signature,LOOCV logistic regression: panel score,0.6,1,0.4
Tier 1 full signature,LOOCV logistic regression: panel score,0.5666666666666667,1,0.43333333333333335
Tier 1 full signature,LOOCV logistic regression: panel score,0.5333333333333333,1,0.4666666666666667
Tier 1 full signature,LOOCV logistic regression: panel score,0.5,1,0.5
Tier 1 full signature,LOOCV logistic regression: panel score,0.4666666666666667,1,0.5333333333333333
Tier 1 full signature,LOOCV logistic regression: panel score,0.43333333333333335,1,0.5666666666666667
Tier 1 full signature,LOOCV logistic regression: panel score,0.4,1,0.6
Tier 1 full signature,LOOCV logistic regression: panel score,0.36666666666666664,1,0.6333333333333333
Tier 1 full signature,LOOCV logistic regression: panel score,0.3333333333333333,1,0.6666666666666667
Tier 1 full signature,LOOCV logistic regression: panel score,0.3,1,0.7
Tier 1 full signature,LOOCV logistic regression: panel score,0.26666666666666666,1,0.7333333333333334
Tier 1 full signature,LOOCV logistic regression: panel score,0.23333333333333334,1,0.7666666666666666
Tier 1 full signature,LOOCV logistic regression: panel score,0.2,1,0.8
Tier 1 full signature,LOOCV logistic regression: panel score,0.16666666666666666,1,0.8333333333333334
Tier 1 full signature,LOOCV logistic regression: panel score,0.13333333333333333,1,0.8666666666666667
Tier 1 full signature,LOOCV logistic regression: panel score,0.1,1,0.9
Tier 1 full signature,LOOCV logistic regression: panel score,0.06666666666666667,1,0.9333333333333333
Tier 1 full signature,LOOCV logistic regression: panel score,0.03333333333333333,1,0.9666666666666667
Tier 1 full signature,LOOCV logistic regression: panel score,0,1,1
PPI hub panel,LOOCV logistic regression: panel score,1,0,0
PPI hub panel,LOOCV logistic regression: panel score,1,0.07142857142857142,0
PPI hub panel,LOOCV logistic regression: panel score,1,0.14285714285714285,0
PPI hub panel,LOOCV logistic regression: panel score,1,0.21428571428571427,0
PPI hub panel,LOOCV logistic regression: panel score,0.9666666666666667,0.21428571428571427,0.033333333333333326
PPI hub panel,LOOCV logistic regression: panel score,0.9666666666666667,0.2857142857142857,0.033333333333333326
PPI hub panel,LOOCV logistic regression: panel score,0.9666666666666667,0.35714285714285715,0.033333333333333326
PPI hub panel,LOOCV logistic regression: panel score,0.9666666666666667,0.42857142857142855,0.033333333333333326
PPI hub panel,LOOCV logistic regression: panel score,0.9666666666666667,0.5,0.033333333333333326
PPI hub panel,LOOCV logistic regression: panel score,0.9666666666666667,0.5714285714285714,0.033333333333333326
PPI hub panel,LOOCV logistic regression: panel score,0.9666666666666667,0.6428571428571429,0.033333333333333326
PPI hub panel,LOOCV logistic regression: panel score,0.9666666666666667,0.7142857142857143,0.033333333333333326
PPI hub panel,LOOCV logistic regression: panel score,0.9333333333333333,0.7142857142857143,0.06666666666666665
PPI hub panel,LOOCV logistic regression: panel score,0.9333333333333333,0.7857142857142857,0.06666666666666665
PPI hub panel,LOOCV logistic regression: panel score,0.9,0.7857142857142857,0.09999999999999998
PPI hub panel,LOOCV logistic regression: panel score,0.9,0.8571428571428571,0.09999999999999998
PPI hub panel,LOOCV logistic regression: panel score,0.8666666666666667,0.8571428571428571,0.1333333333333333
PPI hub panel,LOOCV logistic regression: panel score,0.8333333333333334,0.8571428571428571,0.16666666666666663
PPI hub panel,LOOCV logistic regression: panel score,0.8,0.8571428571428571,0.19999999999999996
PPI hub panel,LOOCV logistic regression: panel score,0.7666666666666667,0.8571428571428571,0.23333333333333328
